timestep,reward
2,-1.878
262,0.127
579,-0.973
890,0.092
1193,0.046
1473,-1.081
1796,1.337
2081,-1.537
2326,0.125
2575,-0.422
2858,-0.391
3118,-0.449
3430,-0.36
3732,2.89
4027,2.947
4340,0.594
4635,3.113
4952,2.694
5219,2.446
5523,2.024
5866,4.799
6160,2.502
6469,1.374
6781,3.858
7068,8.003
7357,0.297
7729,4.29
8045,5.691
8350,-0.244
8682,0.76
9041,3.428
9389,6.445
9715,0.442
10044,4.165
10399,3.454
10730,2.195
11106,3.754
11462,0.668
11800,0.429
12202,0.12
12543,1.019
12941,0.815
13269,-1.206
13657,0.532
14099,-1.939
14472,0.477
14863,2.235
15256,1.271
15613,1.649
15993,1.354
16390,1.166
16762,0.154
17126,-1.101
17516,-2.51
17914,0.245
18305,-1.473
18683,-4.105
19048,0.969
19462,1.109
19886,-1.631
20256,-0.727
20625,-2.417
21053,-0.32
21416,0.972
21781,-2.551
22162,0.08
22586,0.335
22994,0.385
23363,-1.652
23781,0.244
24145,1.12
24548,-0.729
24946,2.327
25326,2.338
25745,-1.965
26158,2.087
26553,-2.578
26919,-0.688
27306,1.632
27675,0.242
28085,1.442
28471,-2.639
28856,1.756
29227,-1.408
29660,3.344
30038,1.081
30458,1.272
30857,-0.718
31225,-1.475
31601,-0.606
31991,-0.474
32360,1.168
32769,0.094
33145,4.927
33540,0.761
33904,-0.414
34297,-0.226
34636,-3.097
35009,0.231
35395,-2.072
35845,-3.465
36254,1.585
36601,0.573
36985,-1.608
37364,2.827
37758,0.448
38134,-0.989
38511,1.203
38902,-5.102
39311,-3.827
39710,-0.69
40096,1.435
40433,1.078
40784,-1.952
41149,-2.52
41511,2.148
41920,1.082
42332,0.706
42706,4.66
43176,-0.036
43565,1.752
43965,-0.475
44324,2.143
44740,-2.044
45124,0.868
45511,-1.134
45867,-1.792
46291,-0.207
46681,-3.86
47064,-3.738
47444,-2.1
47822,0.279
48197,0.284
48600,-1.108
48982,1.889
49342,-0.308
49730,-1.984
50092,5.631
50477,1.838
50832,-3.182
51207,-0.297
51606,-0.087
51954,0.477
52363,1.792
52758,1.997
53166,-2.703
53568,-1.278
53988,0.858
54378,3.013
54744,-1.286
55167,1.897
55608,2.614
56035,3.497
56431,0.978
56839,0.734
57231,-1.147
57593,-1.018
57992,-2.22
58334,-0.404
58729,-0.288
59103,4.918
59506,0.339
59941,3.256
60342,-1.483
60775,-0.109
61194,-3.915
61598,-0.392
62007,-2.454
62351,0.502
62755,1.168
63180,0.903
63595,1.271
63986,0.429
64401,-0.415
64800,1.334
65187,0.24
65611,-2.919
66046,0.754
66470,-0.622
66863,0.878
67271,-5.552
67659,1.64
68020,0.32
68432,-1.213
68789,-0.894
69187,-0.312
69599,2.042
70052,1.47
70430,-0.516
70830,-0.751
71240,-1.062
71671,3.573
72028,-0.146
72394,1.667
72787,0.185
73195,1.289
73583,-3.646
73994,-1.167
74397,0.021
74775,1.191
75217,-1.705
75592,-0.554
75995,-1.592
76408,-3.219
76796,-1.312
77175,-0.44
77547,3.193
77952,-0.326
78321,3.637
78722,5.806
79124,1.073
79513,0.675
79884,-2.163
80236,0.073
80636,-1.293
81087,0.094
81524,-0.409
81905,2.156
82375,4.5
82764,-0.598
83130,-2.976
83525,2.716
83893,-4.75
84290,2.074
84730,-0.27
85111,-0.786
85461,3.404
85859,-0.587
86253,1.943
86648,-0.897
87085,-1.076
87509,1.09
87923,-1.576
88337,-0.956
88691,-0.317
89087,-2.978
89492,-1.106
89905,0.582
90338,4.173
90676,0.184
91073,2.13
91478,0.597
91858,-0.554
92229,1.015
92631,0.711
93015,-0.088
93433,-0.987
93860,1.97
94241,3.229
94624,-1.916
95095,-0.259
95469,-1.325
95867,-0.498
96288,1.635
96688,0.951
97084,-3.299
97456,0.234
97861,-0.442
98281,1.914
98690,-0.415
99095,-0.459
99485,-0.487
99933,0.422
100327,-1.233
100733,1.523
101119,-3.651
101496,0.307
101825,2.861
102270,3.713
102695,2.86
103111,-3.484
103518,2.825
103884,-1.376
104294,2.033
104729,1.36
105131,0.56
105515,0.038
105907,-1.857
106305,-1.549
106716,3.093
107113,2.45
107507,1.582
107946,-0.756
108364,-1.47
108799,-1.817
109264,4.391
109715,-0.507
110151,-1.223
110529,-1.137
110951,-0.687
111343,-5.651
111756,-0.274
112187,-0.294
112606,3.893
113026,1.852
113433,-1.456
113840,-0.285
114276,-0.652
114685,-1.114
115061,1.57
115515,-0.809
115944,-1.361
116347,-1.112
116752,-0.066
117154,-4.222
117568,3.012
117930,1.834
118334,-1.075
118763,-0.102
119198,-0.72
119608,0.737
119977,2.876
120370,1.182
120780,-1.627
121202,-4.387
121612,-0.508
122035,3.787
122468,-0.7
122821,-1.336
123239,-1.653
123649,-0.834
124082,1.491
124478,-1.076
124883,-2.596
125271,-4.093
125710,-2.963
126128,1.209
126539,0.372
126986,1.619
127385,4.058
127838,-0.238
128313,-0.449
128722,-5.601
129126,0.399
129504,-0.77
129940,0.547
130324,0.745
130720,-0.653
131118,0.971
131555,-2.969
131954,-0.194
132429,-1.923
132832,-2.544
133276,-1.089
133717,0.29
134124,-4.724
134506,0.889
134908,-4.227
135322,0.518
135727,-1.743
136134,-1.202
136554,-2.106
136995,-2.268
137414,0.939
137841,2.288
138289,-1.303
138690,-2.11
139107,-2.36
139508,-1.033
139929,-0.487
140360,1.306
140806,0.387
141208,1.384
141663,0.361
142066,0.414
142464,0.039
142868,2.036
143274,3.238
143655,-1.962
144063,-0.984
144481,3.706
144921,1.597
145302,0.706
145758,-1.307
146159,-0.513
146626,1.75
147007,1.251
147426,4.875
147858,2.19
148299,-1.476
148725,-0.072
149126,-1.677
149563,-0.153
149979,1.669
150394,-1.751
150813,0.064
151221,6.986
151650,0.936
152092,1.853
152500,-0.054
152924,3.289
153383,0.898
153789,5.742
154203,5.172
154646,1.685
155032,4.498
155445,3.21
155875,4.195
