timestep,reward
173342,7.073
173730,4.324
174157,8.074
174535,9.232
174955,7.788
175339,6.162
175689,7.005
176038,5.99
176426,9.308
176821,8.747
177247,8.841
177644,5.098
178015,6.632
178432,7.375
178801,6.304
179241,6.328
179662,6.299
180041,5.346
180446,7.482
180813,11.059
181184,7.465
181566,5.719
181987,8.475
182382,11.333
182754,7.626
183105,3.787
183559,9.011
183990,7.28
184357,6.619
184750,9.166
185154,6.179
185569,8.518
186000,4.548
186388,8.961
186773,7.066
187174,6.391
187537,4.782
187925,4.925
188336,6.099
188702,7.112
189059,5.821
189431,6.133
189824,5.942
190172,5.907
190599,6.322
190946,5.648
191277,8.546
191658,8.924
192060,5.761
192486,5.14
192861,9.273
193232,6.428
193606,6.81
193987,7.823
194402,5.26
194787,7.674
195178,10.384
195584,6.011
195995,5.393
196402,9.893
196827,5.626
197179,7.275
197566,2.228
197949,5.887
198344,6.119
198736,3.942
199148,6.389
199551,6.802
199863,7.706
200260,6.978
200659,5.907
201067,4.124
201444,4.851
201832,8.762
202191,7.502
202596,5.659
202976,4.763
203349,6.764
203719,4.469
204067,5.966
204454,6.118
204846,5.569
205219,6.659
205575,2.403
205989,5.058
206371,6.411
206746,6.898
207125,4.127
207487,5.613
207864,6.079
208212,7.26
208601,4.416
208999,7.222
209398,6.488
209772,5.622
210142,5.629
210520,5.652
210875,3.065
211259,6.881
211650,8.902
212028,6.801
212437,2.735
212878,6.95
213222,6.585
213639,6.073
214056,1.499
214429,2.554
214789,10.193
215209,3.786
215605,4.903
215968,4.559
216357,9.122
216700,4.86
217068,8.118
217451,5.398
217836,7.033
218231,5.281
218602,6.9
219014,7.912
219430,4.555
219799,4.87
220241,9.255
220591,9.634
221001,5.673
221378,7.701
221780,10.423
222184,9.318
222556,7.907
222943,5.208
223305,10.448
223709,7.835
224062,6.077
224446,6.93
224828,6.482
225176,8.043
225593,7.46
225992,8.007
226377,6.704
226725,6.324
227098,4.35
227442,4.673
227788,5.594
228131,6.644
228485,7.037
228827,3.639
229185,8.163
229522,8.957
229925,6.656
230283,3.109
230685,7.075
231002,7.415
231324,6.275
231692,2.913
232008,6.675
232369,5.331
232719,7.423
233082,7.262
233419,6.262
233767,3.876
234153,9.206
234527,5.344
234880,6.345
235251,5.775
235631,4.649
235983,3.891
236360,8.244
236712,6.335
237098,6.436
237424,8.569
237845,5.848
238193,6.631
