timestep,reward
131605,0.766
131858,1.913
132112,-1.542
132363,-1.093
132590,-1.656
132838,-2.34
133063,-0.322
133322,-0.705
133588,0.152
133847,-0.022
134096,0.345
134353,-2.276
134619,-1.929
134835,0.162
135074,-0.951
135344,-0.477
135572,0.122
135824,-1.735
136084,-1.571
136334,-0.72
136568,-0.755
136797,-1.658
137029,-0.136
137269,-1.067
137509,-1.703
137753,-1.168
138005,-0.828
138245,-1.713
138514,-1.47
138756,-0.432
138998,-1.368
139234,-0.791
139458,-1.159
139698,-1.138
139912,-1.407
140144,-1.26
140366,-0.966
140603,-0.999
140843,-1.161
141086,-1.084
141339,-1.475
141570,-1.314
141839,-1.24
142071,-1.053
142275,-1.164
142536,-1.226
142772,-1.188
143002,-1.237
143236,-1.228
143481,-1.19
143701,-1.217
143925,-1.237
144145,-1.183
144413,-1.194
144642,-1.194
144898,-1.223
145137,-1.201
145371,-1.215
145609,-1.196
145839,-1.212
146068,-1.218
146301,-1.189
146551,-1.197
146787,-1.201
147036,-1.197
147269,-1.196
147499,-1.212
147701,-1.164
147931,-1.219
148166,-1.198
148388,-1.167
148626,-1.152
148884,-1.198
149099,-1.159
149328,-1.154
149575,-1.184
149807,-1.199
150032,-1.224
150247,-1.19
150458,-1.174
150706,-1.164
150953,-1.206
151179,-1.211
151397,-1.192
151639,-1.232
151859,-1.21
152091,-1.199
152314,-1.217
152520,-1.191
152751,-1.2
152992,-1.204
153234,-1.219
153491,-1.191
153713,-1.225
153956,-1.193
154170,-1.181
154398,-1.188
154629,-1.214
154852,-1.112
155092,-1.237
155339,-1.207
155557,-1.206
155789,-1.208
156019,-1.208
156268,-1.205
156487,-1.203
156722,-1.183
156962,-1.177
157167,-1.213
157419,-1.231
157642,-1.19
157860,-1.183
158074,-1.178
158296,-1.226
158535,-1.17
158742,-1.18
158967,-1.149
159191,-1.232
159421,-1.225
159653,-1.225
159898,-1.166
160117,-1.208
160355,-1.193
160585,-1.231
160808,-1.146
161012,-1.167
161256,-1.199
161496,-1.178
161710,-1.154
161958,-1.188
162167,-1.206
162387,-1.215
162636,-1.213
162883,-1.167
163111,-1.186
163362,-1.203
163590,-1.192
163819,-1.207
164047,-1.19
164273,-1.206
164490,-1.152
164726,-1.187
164960,-1.177
165156,-1.191
165408,-1.195
